Species,Brain Mass,Order,Beta,Alpha,GI,
Rhinopoma,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
SandCat,25,Other,0.1,1.087169496,1.5,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
SandHedgeHog,2,Rodentia,0.07,1.000269898,1.05,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.00, β=0.07. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Sheep,120,Artiodactyla,,,1.7,"Measured GI = 1.70 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
Siamang,100,Primates,0.13,1.011486925,1.840603626,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.01, β=0.13. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
SkinnyPig,5,Other,0.1,1.087169496,1.277009884,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
SpinyMouse,1,Rodentia,0.07,1.000269898,1.000269898,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.00, β=0.07. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
SquirrelMonkey,25,Primates,,,1.55,"Measured GI = 1.55 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
StrippedDolphin,800,Other,,,4.3,"Measured GI = 4.30 from Sun & Hevner (2014), DOI:10.1038/nrn3707"
SturniraLilium,1,Chiroptera,0.08,1.206987049,1.206987049,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
TadaridaTeniotis,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
TamarinCottonTop,8,Primates,,,1.2,"Measured GI = 1.20 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
TamarinEmperor,8,Primates,0.13,1.011486925,1.325445794,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.01, β=0.13. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
TamarinGoldenHands,8,Primates,0.13,1.011486925,1.325445794,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.01, β=0.13. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Tapir,200,Perissodactyla,0.12,0.9746330733,1.840622574,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=0.97, β=0.12. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
ThomsonGazelle,80,Artiodactyla,0.11,1.24179071,2.010889957,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Tiger,269.73,Other,,,1.91,"Measured GI = 1.91 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
VampireBat,1,Chiroptera,0.08,1.206987049,1.206987049,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Vervet,70,Primates,,,1.87,"Measured GI = 1.87 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
Vole,1,Rodentia,0.07,1.000269898,1.000269898,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.00, β=0.07. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
WildBoar,150,Artiodactyla,0.11,1.24179071,2.154856951,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
WildRabbit,10,Other,0.1,1.087169496,1.368665305,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
